low,mid,up
1614,2739,
1617,2740,
1618,2744,
1619,2749,
1620,2750,
1622,2751,
1623,2754,
1624,2755,
1632,2758,
1633,2765,
1635,2771,
1637,2772,
1639,2776,
1640,2777,
1641,2778,
1648,2781,
1652,2782,
1653,2783,
1655,2784,
1656,2790,
1657,2791,
1661,2792,
1662,2793,
1663,2795,
1664,2796,
1668,2797,
1669,2800,
1674,2802,
1675,2803,
1677,2804,
1691,2808,
1692,2809,
1699,2811,
1701,2814,
1702,2815,
1703,2816,
1705,2817,
1708,2823,
1710,2824,
1711,2825,
1712,2826,
1713,2829,
1714,2830,
1716,2833,
1720,2834,
1730,2835,
1731,2836,
1732,2838,
1734,2842,
1735,2843,
1738,2844,
1739,2845,
1741,2846,
1743,2853,
1744,2855,
1747,2856,
1749,2858,
1750,2860,
1754,2861,
1755,2869,
1759,2870,
1763,2880,
1765,2883,
1771,2884,
1773,2885,
1774,2886,
1775,2889,
1776,2890,
1780,2891,
1790,2900,
1792,2901,
1793,2902,
1799,2904,
1804,2905,
1812,2907,
1814,2911,
1815,2912,
1820,2913,
1821,2914,
1824,2916,
1825,2917,
1826,2921,
1827,2922,
1830,2923,
1831,2924,
1833,2929,
1835,2934,
1837,2935,
1838,2936,
1842,2938,
1843,2939,
1854,2943,
1855,2945,
1859,2946,
1860,2949,
1861,2957,
1863,2958,
1870,2959,
1872,2960,
1873,2962,
1874,2964,
1875,2965,
1881,2966,
1882,2970,
1883,2972,
1884,2973,
1885,2974,
1886,2976,
1902,2977,
1905,2978,
1907,2979,
1914,2980,
1925,2983,
1928,2984,
1931,2985,
1934,2989,
1935,2990,
1944,2992,
1946,2994,
1947,2995,
1949,2996,
1950,2999,
1951,3001,
1954,3002,
1955,3005,
1961,3006,
1963,3008,
1965,3009,
1966,3014,
1969,3015,
1970,3016,
1971,3017,
1973,3022,
1977,3023,
1978,3029,
1990,3030,
1991,3031,
1997,3032,
2001,3035,
2003,3036,
2011,3037,
2013,3038,
2019,3039,
2024,3040,
2028,3045,
2034,3046,
2035,3047,
2042,3048,
2044,3049,
2045,3050,
2052,3052,
2053,3053,
2054,3054,
2055,3055,
2057,3056,
2058,3061,
2060,3062,
2068,3063,
2071,3064,
2082,3065,
2086,3066,
2096,3067,
2102,3071,
2103,3072,
2104,3073,
2105,3075,
2106,3076,
2109,3081,
2110,3082,
2111,3088,
2114,3090,
2117,3097,
2120,3099,
2124,3106,
2126,3107,
2127,3109,
2133,3110,
2136,3111,
2137,3112,
2138,3113,
2146,3115,
2147,3116,
2148,3118,
2158,3119,
2159,3121,
2172,3124,
2173,3125,
2178,3126,
2182,3129,
2183,3131,
2184,3132,
2185,3133,
2186,3137,
2188,3140,
2189,3143,
2190,3150,
2191,3151,
2192,3152,
2193,3153,
2196,3154,
2201,3158,
2204,3159,
2205,3160,
2206,3161,
2210,3162,
2211,3166,
2216,3167,
2217,3169,
2218,3170,
2219,3171,
2220,3172,
2222,3173,
2223,3174,
2224,3175,
2240,3176,
2244,3178,
2245,3179,
2250,3180,
2253,3183,
2259,3188,
2266,3189,
2271,3190,
2272,3191,
2273,3192,
2278,3199,
2282,3200,
2283,3202,
2289,3203,
2290,3204,
2291,3205,
2292,3206,
2293,3207,
2294,3208,
2298,3209,
2301,3210,
2303,3211,
2304,3212,
2306,3213,
2308,3215,
2309,3216,
2310,3217,
2311,3223,
2313,3224,
2317,3226,
2320,3229,
2321,3230,
2323,3231,
2325,3233,
2326,3234,
2327,3236,
2328,3237,
2333,3244,
2340,3245,
2346,3246,
2348,3248,
2349,3249,
2353,3250,
2354,3251,
2361,3257,
2363,3258,
2364,3259,
2366,3261,
2367,3262,
2368,3263,
2369,3265,
2378,3266,
2382,3267,
2387,3272,
2389,3274,
2395,3275,
2403,3276,
2405,3277,
2406,3282,
2408,3283,
2409,3287,
2412,3291,
2421,3292,
2425,3294,
2426,3295,
2429,3296,
2430,3297,
2431,3298,
2432,3301,
2434,3308,
2435,3309,
2438,3313,
2439,3315,
2452,3316,
2455,3318,
2459,3320,
2460,3322,
2461,3323,
2462,3326,
2472,3327,
2475,3328,
2477,3329,
2478,3334,
2488,3337,
2495,3338,
2496,3339,
2497,3340,
2504,3348,
2509,3349,
2517,3350,
2520,3352,
2521,3353,
2522,3354,
2525,3358,
2526,3361,
2528,3362,
2529,3364,
2530,3367,
2533,3370,
2540,3371,
2541,3373,
2542,3374,
2544,3375,
2546,3378,
2550,3380,
2554,3387,
2555,3388,
2565,3389,
2566,3392,
2570,3395,
2571,3400,
2572,3402,
2581,3406,
2582,3407,
2583,3408,
2585,3411,
2586,3412,
2588,3413,
2589,3415,
2591,3416,
2592,3417,
2593,3421,
2594,3422,
2597,3424,
2598,3429,
2601,3430,
2602,3433,
2603,3436,
2604,3437,
2605,3438,
2607,3439,
2609,3441,
2611,3442,
2617,3446,
2618,3450,
2621,3452,
2630,3454,
2632,3456,
2642,3457,
2646,3458,
2658,3459,
2659,3461,
2661,3463,
2668,3464,
2672,3465,
2679,3469,
2685,3471,
2686,3473,
2687,3474,
2691,3476,
2703,3489,
2705,3491,
2706,3495,
2707,3496,
2714,3497,
2718,3498,
2723,3499,
2728,3501,
2747,3503,
2748,3504,
2756,3509,
2757,3510,
2760,3512,
2761,3514,
2767,3520,
2768,3521,
2769,3522,
2770,3524,
2774,3525,
2775,3533,
2785,3534,
2786,3535,
2787,3536,
2788,3537,
2789,3538,
2801,3539,
2805,3540,
2818,3543,
2819,3547,
2821,3548,
2827,3549,
2831,3550,
2840,3552,
2841,3553,
2848,3554,
2849,3555,
2854,3556,
2859,3562,
2864,3564,
2865,3566,
2866,3567,
2867,3568,
2871,3570,
2872,3571,
2873,3572,
2874,3574,
2876,3575,
2877,3576,
2878,3577,
2879,3578,
2881,3579,
2897,3580,
2898,3581,
2899,3582,
2906,3583,
2910,3587,
2920,3588,
2925,3589,
2926,3594,
2927,3595,
2928,3596,
2931,3598,
2932,3602,
2933,3605,
2937,3606,
2940,3608,
2941,3609,
2947,3610,
2948,3616,
2954,3617,
2955,3618,
2967,3621,
2968,3624,
2969,3625,
2971,3630,
2975,3631,
2981,3642,
2988,3643,
2997,3647,
2998,3649,
3003,3651,
3004,3652,
3007,3653,
3018,3654,
3019,3655,
3020,3656,
3024,3657,
3025,3658,
3033,3663,
3034,3664,
3041,3665,
3042,3668,
3044,3669,
3051,3670,
3057,3672,
3058,3673,
3060,3677,
3068,3678,
3070,3679,
3074,3681,
3077,3683,
3078,3684,
3079,3685,
3080,3687,
3083,3688,
3091,3690,
3092,3693,
3093,3694,
3094,3695,
3096,3699,
3100,3702,
3104,3703,
3117,3706,
3123,3707,
3127,3709,
3128,3710,
3138,3711,
3141,3712,
3142,3715,
3147,3716,
3149,3718,
3168,3719,
3185,3720,
3187,3723,
3193,3725,
3194,3730,
3195,3731,
3201,3732,
3219,3733,
3220,3734,
3227,3737,
3228,3739,
3247,3740,
3252,3741,
3253,3742,
3254,3744,
3255,3745,
3260,3746,
3271,3749,
3278,3750,
3280,3753,
3281,3754,
3284,3757,
3285,3758,
3288,3759,
3293,3764,
3302,3765,
3304,3769,
3305,3773,
3306,3775,
3307,3779,
3314,3780,
3319,3781,
3321,3782,
3330,3783,
3335,3786,
3336,3787,
3345,3794,
3346,3802,
3347,3803,
3351,3804,
3355,3807,
3357,3808,
3359,3810,
3360,3814,
3366,3815,
3369,3816,
3372,3819,
3376,3820,
3382,3821,
3385,3822,
3396,3823,
3398,3824,
3401,3825,
3404,3826,
3405,3830,
3409,3831,
3410,3836,
3423,3838,
3427,3842,
3428,3843,
3432,3844,
3440,3845,
3445,3848,
3447,3849,
3462,3853,
3467,3858,
3470,3862,
3472,3863,
3475,3864,
3481,3869,
3486,3870,
3488,3871,
3502,3872,
3505,3874,
3506,3881,
3507,3884,
3508,3888,
3513,3889,
3518,3891,
3519,3893,
3526,3894,
3527,3895,
3528,3896,
3532,3897,
3541,3904,
3551,3905,
3557,3907,
3558,3908,
3559,3911,
3560,3912,
3563,3916,
3569,3920,
3584,3921,
3585,3922,
3586,3925,
3590,3926,
3599,3928,
3600,3929,
3603,3930,
3604,3931,
3607,3932,
3619,3933,
3620,3934,
3626,3935,
3628,3942,
3632,3943,
3633,3952,
3634,3954,
3635,3961,
3636,3962,
3637,3971,
3638,3974,
3644,3988,
3645,3990,
3666,3998,
3667,3999,
3675,4000,
3676,4001,
3686,4002,
3689,4003,
3691,4007,
3692,4018,
3704,4019,
3705,4020,
3714,4021,
3717,4023,
3721,4025,
3722,4026,
3726,4027,
3728,4028,
3729,4029,
3735,4030,
3736,4032,
3738,4033,
3743,4037,
3751,4038,
3752,4041,
3755,4045,
3756,4046,
3760,4049,
3761,4050,
3762,4052,
3763,4053,
3770,4061,
3771,4063,
3772,4064,
3777,4065,
3778,4066,
3784,4067,
3788,4068,
3789,4078,
3790,4079,
3791,4080,
3792,4081,
3795,4084,
3796,4085,
3805,4088,
3811,4095,
3812,4096,
3818,4097,
3828,4098,
3829,4099,
3832,4100,
3833,4101,
3834,4102,
3835,4103,
3837,4104,
3850,4105,
3851,4106,
3852,4107,
3854,4108,
3855,4110,
3856,4111,
3857,4116,
3859,4117,
3860,4120,
3861,4121,
3865,4123,
3873,4127,
3879,4131,
3887,4132,
3890,4133,
3892,4134,
3898,4135,
3899,4136,
3901,4140,
3906,4141,
3909,4142,
3910,4143,
3913,4144,
3914,4145,
3924,4147,
3936,4148,
3944,4150,
3948,4151,
3953,4153,
3958,4155,
3960,4156,
3963,4157,
3967,4158,
3968,4160,
3969,4161,
3972,4163,
3973,4165,
3978,4167,
3979,4168,
3980,4170,
3996,4173,
3997,4177,
4005,4179,
4006,4182,
4011,4186,
4014,4187,
4015,4188,
4016,4189,
4022,4190,
4034,4191,
4036,4192,
4039,4196,
4040,4197,
4042,4198,
4043,4202,
4048,4203,
4051,4212,
4060,4213,
4062,4221,
4070,4223,
4075,4225,
4076,4227,
4077,4228,
4082,4230,
4083,4236,
4086,4238,
4087,4239,
4089,4245,
